price,bed,bath,sqft_living,sqft_total,floors,condition,sqft_basement,yr_built,yr_renovated,city
599999.0,9.0,4.5,3830,6988,2.5,3,1,1938,1,Seattle
340000.0,8.0,2.75,2790,6695,1.0,3,1,1977,1,Shoreline
1970000.0,8.0,3.5,4440,6480,2.0,5,1,1959,0,Seattle
2280000.0,7.0,8.0,13540,307752,3.0,3,1,1999,0,Redmond
840000.0,7.0,4.5,4290,37607,1.5,5,0,1982,0,Issaquah
999000.0,7.0,4.0,3150,34830,1.0,3,0,1957,1,Bellevue
475000.0,7.0,3.5,2870,29699,1.0,3,1,1961,1,Seattle
1950000.0,7.0,3.5,4640,15235,2.0,3,1,1965,1,Mercer Island
1240000.0,7.0,5.5,6630,13782,2.0,3,1,2004,1,Bellevue
350000.0,7.0,3.0,2800,9569,1.0,3,1,1963,1,Renton
565000.0,7.0,4.5,4140,9066,1.0,3,1,1978,0,Seattle
3200000.0,7.0,4.5,6210,8856,2.5,5,1,1910,0,Seattle
550000.0,7.0,4.0,3440,8100,2.0,3,0,1970,1,Seattle
540000.0,7.0,5.75,3700,7647,2.0,3,0,1948,1,Lake Forest Park
599000.0,7.0,2.5,2580,5750,1.0,4,1,1901,0,Seattle
280000.0,7.0,2.5,1940,5458,2.0,3,0,1994,0,Auburn
824000.0,7.0,4.25,3670,4000,2.0,3,1,1964,1,Seattle
1135000.0,6.0,4.25,6900,244716,2.0,4,1,2002,0,Woodinville
1600000.0,6.0,5.0,6050,230652,2.0,3,0,2001,0,Fall City
1150000.0,6.0,4.5,6040,219542,2.0,3,1,1996,0,Issaquah
475000.0,6.0,3.0,3470,117612,1.5,3,0,1924,1,Kenmore
975000.0,6.0,2.75,2520,54160,2.0,3,0,1954,1,Seattle
611000.0,6.0,2.5,3820,53173,1.0,4,1,1974,0,Issaquah
670000.0,6.0,3.0,4050,36171,2.0,4,1,1970,0,Issaquah
375900.0,6.0,1.5,2550,33740,1.0,4,1,1958,1,Federal Way
330000.0,6.0,2.25,3040,28535,1.0,3,1,1951,1,Kent
2005000.0,6.0,4.5,3810,28176,1.0,5,0,1969,0,Shoreline
900000.0,6.0,2.75,2300,24773,1.5,4,0,1950,1,Mercer Island
465000.0,6.0,3.25,4250,23326,1.0,3,1,1967,1,Federal Way
1385000.0,6.0,2.75,5700,20000,1.0,4,1,1977,0,Bellevue
968000.0,6.0,2.75,3610,17580,1.0,5,1,1959,0,Sammamish
583000.0,6.0,2.75,2630,16411,1.0,4,1,1974,0,Redmond
3100000.0,6.0,4.25,6980,15682,3.0,4,1,1999,0,Mercer Island
543200.0,6.0,2.25,2820,15600,1.5,5,1,1940,0,Burien
915000.0,6.0,3.75,2930,14980,2.0,3,0,2013,1,Bellevue
472000.0,6.0,2.5,4410,14034,1.0,4,1,1965,0,Federal Way
0.0,6.0,3.0,3020,13783,2.0,3,0,1952,1,Mercer Island
450000.0,6.0,2.25,3550,11780,1.0,4,1,1948,0,Seattle
2180000.0,6.0,2.75,4710,11000,2.0,3,1,1931,0,Seattle
300000.0,6.0,2.0,2040,10812,1.0,4,0,1943,0,Renton
2400000.0,6.0,4.5,5480,10800,2.0,4,1,1999,0,Seattle
1297000.0,6.0,2.75,2630,9420,2.0,5,1,1900,0,Seattle
410000.0,6.0,2.75,2520,9324,1.0,4,1,1962,0,Lake Forest Park
0.0,6.0,2.75,3200,9200,1.0,4,1,1953,1,Burien
260000.0,6.0,2.0,2220,8797,1.0,3,0,1977,1,Auburn
527000.0,6.0,3.5,3000,8401,1.0,3,1,1979,1,Seattle
603500.0,6.0,2.75,2660,8400,1.0,5,1,1962,0,Bellevue
175000.0,6.0,1.5,1930,8400,1.0,3,1,1971,0,Burien
665000.0,6.0,2.75,2840,8346,1.0,5,1,1961,0,Seattle
305000.0,6.0,2.0,1900,8240,1.0,2,1,1964,0,Seattle
502000.0,6.0,2.5,2890,8122,1.0,3,1,1977,1,Bellevue
235000.0,6.0,3.0,2180,7956,2.0,3,0,1980,0,Federal Way
326000.0,6.0,3.0,1880,7200,1.0,4,0,1966,0,Renton
620000.0,6.0,3.5,3600,6875,2.0,3,1,2004,1,Snoqualmie
1500000.0,6.0,2.5,3560,6480,2.5,4,0,1914,1,Seattle
1465000.0,6.0,4.5,4230,6420,2.0,4,1,1916,0,Seattle
675000.0,6.0,1.75,2740,6360,1.0,3,1,1953,0,Seattle
570000.0,6.0,3.75,4000,6015,2.0,3,1,2004,1,Renton
375000.0,6.0,2.25,3206,5793,2.0,3,0,2012,1,Kent
1750000.0,6.0,3.0,3510,5760,2.5,4,0,1906,1,Seattle
300000.0,6.0,5.25,2860,5682,2.0,3,0,1978,0,Auburn
175000.0,6.0,1.0,1370,5080,1.5,3,1,1931,0,Seattle
775000.0,6.0,2.75,2980,5000,1.5,3,1,1916,1,Seattle
725000.0,6.0,3.0,3110,5000,1.5,5,1,1921,0,Seattle
823000.0,6.0,1.75,2920,5000,2.5,4,1,1908,0,Seattle
1288333.33333,6.0,4.5,3830,4800,3.0,3,1,1919,1,Seattle
755000.0,6.0,2.0,2150,4505,1.0,3,1,1952,1,Seattle
495000.0,6.0,5.0,3440,4500,2.0,3,1,2007,0,Renton
665000.0,6.0,3.0,4250,4400,2.5,4,1,1902,0,Seattle
1125000.0,6.0,3.75,3010,4360,2.0,3,1,2014,0,Seattle
315000.0,6.0,4.0,3120,4240,2.0,4,1,1993,0,Seattle
725000.0,6.0,1.75,2380,4080,2.0,3,0,1917,1,Seattle
1300000.0,6.0,4.5,3902,3880,3.0,4,1,1977,0,Seattle
880000.0,6.0,2.5,2640,3680,2.0,5,1,1922,1,Seattle
1125000.0,6.0,3.0,2880,3192,2.0,4,1,1919,1,Seattle
680000.0,6.0,2.0,1670,3000,1.0,5,1,1911,1,Seattle
660000.0,6.0,1.75,1840,2774,1.0,3,1,1900,1,Seattle
799200.0,6.0,3.0,2890,2370,2.5,3,1,1906,1,Seattle
542500.0,5.0,3.25,3010,1074218,1.5,5,1,1931,0,Issaquah
950000.0,5.0,3.0,4530,258746,1.5,4,1,2003,0,Woodinville
900000.0,5.0,3.75,4130,226076,2.0,3,1,1985,0,Woodinville
1135250.0,5.0,4.0,7320,217800,2.0,3,0,1992,0,Renton
450000.0,5.0,2.5,2850,209523,1.0,4,1,1925,1,Renton
1550000.0,5.0,4.25,6070,171626,2.0,3,0,1999,0,Fall City
437000.0,5.0,2.0,2120,137565,1.5,3,0,1913,1,Vashon
2238888.0,5.0,6.5,7270,130017,2.0,3,1,2010,0,Issaquah
525888.0,5.0,1.75,2550,71874,1.0,5,1,1960,0,Issaquah
670000.0,5.0,2.5,2860,68519,2.0,5,0,1958,0,Snoqualmie
675000.0,5.0,2.5,2820,67518,2.0,3,0,1979,1,Issaquah
2888000.0,5.0,6.25,8670,64033,2.0,3,1,1965,1,Seattle
